epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,43.6242,2.83675,0.32522,0.68452,3.06543,0.00332682,0.00332682,0.0700586
2,87.0872,2.41799,0.40798,0.80331,2.50478,0.00659422,0.00659422,0.0399927
3,129.841,2.18881,0.46056,0.82668,2.10101,0.00979562,0.00979562,0.00986072
4,172.742,1.98434,0.52288,0.82376,1.91528,0.009703,0.009703,0.009703
5,216.223,1.74228,0.61928,0.90847,1.37654,0.009604,0.009604,0.009604
6,258.87,1.55802,0.64362,0.93281,1.3811,0.009505,0.009505,0.009505
7,301.831,1.36696,0.72152,0.94352,1.05736,0.009406,0.009406,0.009406
8,348.082,1.22467,0.73515,0.93476,1.01292,0.009307,0.009307,0.009307
9,398.006,1.11064,0.7741,0.9591,0.834,0.009208,0.009208,0.009208
10,442.228,1.04308,0.75949,0.95229,0.96997,0.009109,0.009109,0.009109
11,484.792,0.9836,0.79163,0.97079,0.73675,0.00901,0.00901,0.00901
12,527.583,0.87385,0.8111,0.97176,0.72102,0.008911,0.008911,0.008911
13,570.254,0.83287,0.815,0.97274,0.6762,0.008812,0.008812,0.008812
14,613.567,0.76858,0.8111,0.97079,0.66052,0.008713,0.008713,0.008713
15,655.529,0.68861,0.83155,0.97955,0.60478,0.008614,0.008614,0.008614
16,698.044,0.67155,0.85784,0.9815,0.49766,0.008515,0.008515,0.008515
17,741.161,0.6266,0.83934,0.98053,0.61314,0.008416,0.008416,0.008416
18,783.749,0.64321,0.84323,0.97176,0.6157,0.008317,0.008317,0.008317
19,826.455,0.61147,0.85102,0.98053,0.51948,0.008218,0.008218,0.008218
20,869.279,0.56881,0.87439,0.98345,0.47441,0.008119,0.008119,0.008119
21,911.022,0.52499,0.87731,0.98442,0.46953,0.00802,0.00802,0.00802
22,954.051,0.51809,0.86271,0.98345,0.52201,0.007921,0.007921,0.007921
23,996.487,0.4624,0.87244,0.98345,0.51091,0.007822,0.007822,0.007822
24,1039.38,0.50278,0.87147,0.9815,0.46069,0.007723,0.007723,0.007723
25,1082.43,0.47356,0.87926,0.97566,0.51412,0.007624,0.007624,0.007624
26,1125.67,0.41996,0.87829,0.98442,0.46571,0.007525,0.007525,0.007525
27,1168.58,0.42122,0.85881,0.98539,0.46301,0.007426,0.007426,0.007426
28,1212.09,0.38629,0.87829,0.98929,0.46085,0.007327,0.007327,0.007327
29,1254.72,0.37131,0.87537,0.98929,0.50108,0.007228,0.007228,0.007228
30,1297.33,0.35442,0.87731,0.98539,0.43696,0.007129,0.007129,0.007129
31,1340.13,0.39299,0.87537,0.98734,0.4617,0.00703,0.00703,0.00703
32,1381.6,0.35228,0.88413,0.98539,0.47908,0.006931,0.006931,0.006931
33,1424.24,0.32861,0.90068,0.98734,0.39978,0.006832,0.006832,0.006832
34,1467.5,0.294,0.89873,0.99026,0.38467,0.006733,0.006733,0.006733
35,1510.71,0.28219,0.89873,0.98442,0.40352,0.006634,0.006634,0.006634
36,1553.61,0.31094,0.89387,0.98345,0.40219,0.006535,0.006535,0.006535
37,1596.91,0.30933,0.89484,0.98734,0.40218,0.006436,0.006436,0.006436
38,1639.97,0.27987,0.89873,0.98734,0.38705,0.006337,0.006337,0.006337
39,1683.14,0.26175,0.9036,0.98637,0.3912,0.006238,0.006238,0.006238
40,1725.3,0.2497,0.90166,0.98734,0.39542,0.006139,0.006139,0.006139
41,1767.91,0.2618,0.89387,0.98442,0.41776,0.00604,0.00604,0.00604
42,1810.58,0.26581,0.90458,0.99124,0.38546,0.005941,0.005941,0.005941
43,1852.68,0.24893,0.90944,0.98929,0.37892,0.005842,0.005842,0.005842
44,1895.27,0.23609,0.90847,0.98832,0.3885,0.005743,0.005743,0.005743
45,1937.09,0.2295,0.92795,0.99513,0.31699,0.005644,0.005644,0.005644
46,1980.17,0.20235,0.91431,0.99318,0.29714,0.005545,0.005545,0.005545
47,2023.48,0.20697,0.90847,0.99221,0.36633,0.005446,0.005446,0.005446
48,2066.64,0.22207,0.9036,0.98832,0.3693,0.005347,0.005347,0.005347
49,2109.2,0.19324,0.91334,0.99318,0.3227,0.005248,0.005248,0.005248
50,2151.39,0.1796,0.91918,0.99221,0.36028,0.005149,0.005149,0.005149
51,2194.55,0.16357,0.92405,0.99221,0.30492,0.00505,0.00505,0.00505
52,2237.4,0.17381,0.9221,0.99416,0.29174,0.004951,0.004951,0.004951
53,2279.87,0.18748,0.92016,0.99026,0.35212,0.004852,0.004852,0.004852
54,2322.11,0.17391,0.92697,0.98539,0.38674,0.004753,0.004753,0.004753
55,2365.61,0.19008,0.92502,0.99124,0.31437,0.004654,0.004654,0.004654
