epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,49.283,2.63221,0.31888,0.65992,3.08875,0.00332046,0.00332046,0.0701158
2,95.827,2.35366,0.3131,0.658,5.36518,0.00665217,0.00665217,0.0401142
3,147.555,2.16795,0.44701,0.76782,2.26651,0.00997737,0.00997737,0.0101061
4,196.333,2.03588,0.55588,0.8738,1.61124,0.00997803,0.00997803,0.00997803
5,285.465,1.57022,0.65029,0.90173,1.33126,0.00996097,0.00996097,0.00996097
6,373.263,1.42462,0.65703,0.92004,1.25379,0.00993906,0.00993906,0.00993906
7,461.173,1.22507,0.71676,0.94412,0.97911,0.00991232,0.00991232,0.00991232
8,549.899,1.12811,0.71484,0.94027,1.02642,0.00988079,0.00988079,0.00988079
9,635.715,1.10085,0.73218,0.95376,0.98029,0.00984449,0.00984449,0.00984449
10,724.217,1.04158,0.77649,0.97013,0.78258,0.00980345,0.00980345,0.00980345
11,815.436,0.91151,0.75048,0.96532,0.81239,0.00975773,0.00975773,0.00975773
12,905.26,0.91673,0.79287,0.96532,0.79035,0.00970736,0.00970736,0.00970736
13,993.861,0.85412,0.81503,0.97206,0.67016,0.00965239,0.00965239,0.00965239
14,1079.53,0.7823,0.80732,0.97303,0.6597,0.00959289,0.00959289,0.00959289
15,1168.3,0.7565,0.82852,0.97399,0.58252,0.00952889,0.00952889,0.00952889
16,1259.99,0.70058,0.83719,0.97977,0.57702,0.00946048,0.00946048,0.00946048
17,1347.42,0.66722,0.7948,0.97303,0.74617,0.00938772,0.00938772,0.00938772
18,1437.16,0.60378,0.81503,0.9817,0.63869,0.00931067,0.00931067,0.00931067
19,1489.79,0.63097,0.83333,0.97784,0.58999,0.00922942,0.00922942,0.00922942
20,1534.39,0.59771,0.84682,0.97688,0.54004,0.00914405,0.00914405,0.00914405
21,1579.67,0.55716,0.84489,0.98073,0.55913,0.00905463,0.00905463,0.00905463
